ID	Symbol	12hr Fold Change	12hr p-value	24hr Fold Change	24hr p-value	48hr Fold Change	48hr p-value
219455_at	C7orf63	-1.456	4.89E-02	 	 	1.504	2.04E-02
1562992_at	C7orf63	 	 	1.167	1.66E-02	1.195	2.42E-02
224758_at	C7orf73	1.446	3.83E-02	 	 	1.309	4.90E-02
210324_at	C8G	 	 	 	 	1.369	4.30E-02
218187_s_at	C8orf33	1.355	1.25E-03	1.336	9.34E-03	1.435	3.04E-03
222551_s_at	C8orf33	1.277	5.35E-03	1.341	4.15E-02	 	 
244569_at	C8orf37	 	 	1.26	2.81E-02	 	 
220038_at	C8orf44-SGK3/SGK3	4.104	1.16E-04	3.76	2.69E-04	3.094	9.92E-03
227627_at	C8orf44-SGK3/SGK3	3.205	2.46E-03	2.866	1.68E-02	3.981	8.85E-05
228695_at	C8orf46	 	 	2.37	1.62E-02	2.392	1.65E-02
229430_at	C8orf46	 	 	2.627	1.14E-02	 	 
1569246_a_at	C8orf74	1.705	4.77E-02	 	 	 	 
228107_at	C8orf88	-1.412	4.95E-02	 	 	-1.455	9.96E-03
218565_at	C9orf114	1.286	5.02E-03	 	 	 	 
226070_at	C9orf142	1.205	9.38E-03	 	 	 	 
229964_at	C9orf152	-1.686	5.24E-04	-1.335	3.35E-03	 	 
204480_s_at	C9orf16	 	 	-1.113	4.17E-02	 	 
222165_x_at	C9orf16	 	 	-1.221	9.17E-03	-1.218	2.97E-02
222166_at	C9orf16	 	 	-1.607	3.01E-02	 	 
41047_at	C9orf16	 	 	-1.222	5.63E-04	-1.189	3.86E-02
1569144_a_at	C9orf169	-1.552	7.50E-03	-1.641	2.24E-02	 	 
212848_s_at	C9orf3	 	 	-1.243	1.02E-02	-1.808	5.00E-03
232270_at	C9orf3	 	 	 	 	-2.261	1.48E-02
222781_s_at	C9orf40	 	 	 	 	1.151	4.21E-02
228324_at	C9orf41	1.481	1.87E-02	 	 	 	 
241781_at	C9orf41	1.33	2.02E-02	 	 	 	 
1564274_at	C9orf47	-1.715	1.34E-03	 	 	-1.229	9.19E-03
235940_at	C9orf64	-1.159	1.21E-02	 	 	 	 
1552755_at	C9orf66	 	 	-1.677	1.31E-03	-1.657	1.30E-02
218116_at	C9orf78	1.3	1.90E-03	 	 	1.207	1.42E-02
223398_at	C9orf89	1.599	8.35E-05	1.621	5.05E-03	1.928	1.80E-04
220050_at	C9orf9	-1.325	2.07E-02	 	 	 	 
221865_at	C9orf91	 	 	 	 	-1.196	4.47E-02
205949_at	CA1	 	 	-1.129	4.00E-02	 	 
223550_s_at	CA10	 	 	 	 	1.176	4.69E-02
203963_at	CA12	2.073	5.37E-04	2.281	1.30E-04	2.484	2.22E-03
204508_s_at	CA12	2.68	4.33E-05	2.121	8.75E-04	2.219	3.33E-03
210735_s_at	CA12	2.377	2.74E-06	2.022	6.64E-04	2.461	6.91E-03
214164_x_at	CA12	2.1	4.17E-04	1.951	4.56E-04	2.307	3.83E-03
215867_x_at	CA12	2.212	3.66E-05	2.397	1.15E-04	1.99	2.73E-03
241230_at	CA12	 	 	1.65	3.37E-02	 	 
231270_at	CA13	 	 	1.452	2.79E-02	 	 
235899_at	CA13	 	 	-1.453	3.83E-02	 	 
209301_at	CA2	1.282	2.83E-02	1.842	2.08E-02	 	 
207129_at	CA5B	-1.399	7.28E-03	 	 	1.098	3.66E-03
214082_at	CA5B	 	 	-1.48	2.02E-02	-1.568	2.96E-02
238435_at	CA5BP1	2.05	1.55E-02	 	 	 	 
1555572_at	CA6	 	 	1.118	3.22E-03	 	 
220234_at	CA8	1.374	4.48E-03	 	 	 	 
238537_at	CA8	 	 	 	 	1.284	3.78E-02
205199_at	CA9	 	 	 	 	1.601	1.32E-02
219276_x_at	CAAP1	1.159	4.21E-02	 	 	 	 
229462_at	CAAP1	1.358	4.50E-02	 	 	 	 
217873_at	CAB39	-1.392	3.84E-04	-1.555	3.21E-03	-1.677	1.31E-02
224311_s_at	CAB39	-1.531	1.08E-02	 	 	-1.587	1.01E-02
225914_s_at	CAB39L	-1.72	1.05E-02	-1.655	1.74E-02	-1.589	2.71E-03
225915_at	CAB39L	 	 	-2.033	2.42E-02	-2.596	1.56E-03
37652_at	CABIN1	-1.259	4.13E-02	 	 	 	 
225532_at	CABLES1	 	 	-1.152	3.84E-02	-1.215	4.57E-02
226004_at	CABLES2	-1.126	4.68E-02	 	 	 	 
224279_s_at	CABYR	 	 	1.917	3.78E-02	1.734	1.55E-02
219223_at	CACFD1	-1.196	2.92E-02	 	 	 	 
61874_at	CACFD1	-1.224	1.09E-02	-1.218	1.50E-03	 	 
206399_x_at	CACNA1A	 	 	-1.342	4.65E-02	 	 
240650_at	CACNA1E	1.29	3.57E-02	 	 	 	 
205845_at	CACNA1H	 	 	-1.125	3.08E-02	-1.592	5.08E-03
222960_at	CACNA1H	 	 	-1.09	1.92E-02	 	 
204811_s_at	CACNA2D2	 	 	 	 	1.26	5.13E-03
1559420_x_at	CACNB2	 	 	 	 	1.138	2.23E-02
34726_at	CACNB3	-1.251	2.70E-02	 	 	-1.272	1.60E-02
62987_r_at	CACNG4	 	 	-1.622	4.67E-02	 	 
215954_s_at	CACTIN	1.248	6.56E-03	 	 	 	 
227257_s_at	CACUL1	 	 	 	 	1.29	3.64E-02
201381_x_at	CACYBP	1.296	2.51E-02	1.29	3.93E-02	1.345	4.73E-03
210691_s_at	CACYBP	1.303	2.32E-02	 	 	1.145	1.20E-02
211761_s_at	CACYBP	1.166	9.49E-03	1.177	1.78E-02	1.278	1.43E-02
201382_at	CACYBP	 	 	1.794	3.45E-02	 	 
202715_at	CAD	 	 	 	 	1.379	2.46E-02
244345_at	CADM1	 	 	 	 	1.252	2.32E-02
204814_at	CADPS	-1.267	1.02E-02	 	 	 	 
1568603_at	CADPS	 	 	 	 	1.263	4.15E-02
219572_at	CADPS2	 	 	 	 	1.706	1.95E-02
205428_s_at	CALB2	3.306	5.95E-03	7.166	7.42E-03	15.327	3.70E-04
210728_s_at	CALCA	 	 	2.252	3.68E-02	 	 
214636_at	CALCB	1.267	2.92E-02	 	 	1.221	3.61E-02
209002_s_at	CALCOCO1	-1.44	3.75E-02	-1.583	3.18E-03	-1.999	7.53E-03
210817_s_at	CALCOCO2	-1.308	1.72E-02	-1.197	1.91E-02	-1.137	8.83E-03
235076_at	CALCOCO2	 	 	-1.306	2.47E-04	 	 
1554367_at	CALHM1	-1.688	2.36E-02	 	 	 	 
57715_at	CALHM2	-1.214	2.76E-03	-1.142	4.83E-02	 	 
209563_x_at	CALM1 (includes others)	1.199	1.10E-03	 	 	 	 
211984_at	CALM1 (includes others)	1.356	3.77E-02	1.141	3.11E-02	 	 
211985_s_at	CALM1 (includes others)	1.229	1.53E-03	 	 	1.367	1.90E-02
213688_at	CALM1 (includes others)	1.146	3.57E-02	1.373	3.96E-04	 	 
1563431_x_at	CALM1 (includes others)	 	 	-2.522	2.47E-02	-1.945	4.74E-03
64408_s_at	CALML4	1.308	1.60E-02	1.708	4.53E-02	1.396	4.18E-02
1555168_a_at	CALN1	-1.38	4.24E-02	 	 	 	 
214316_x_at	CALR	1.189	2.61E-02	 	 	1.254	7.47E-03
214315_x_at	CALR	 	 	 	 	1.298	2.05E-02
200757_s_at	CALU	-1.105	3.86E-02	 	 	 	 
214845_s_at	CALU	 	 	1.225	1.86E-02	1.54	6.23E-03
200755_s_at	CALU	 	 	 	 	1.303	2.84E-02
200756_x_at	CALU	 	 	 	 	1.387	3.54E-03
235626_at	CAMK1D	-1.431	3.49E-02	-1.48	1.89E-02	-1.64	4.09E-04
213108_at	CAMK2A	 	 	 	 	-1.66	3.93E-02
210404_x_at	CAMK2B	-1.483	1.60E-02	 	 	 	 
209956_s_at	CAMK2B	 	 	 	 	-1.379	1.29E-02
225019_at	CAMK2D	-1.381	2.59E-03	-1.364	1.11E-02	-1.481	7.81E-05
212757_s_at	CAMK2G	 	 	-1.144	2.91E-02	-1.29	1.73E-03
218309_at	CAMK2N1	-1.194	4.11E-02	-1.33	2.54E-03	-1.751	4.45E-03
230706_s_at	CAMK2N2	1.224	2.41E-03	 	 	 	 
241871_at	CAMK4	 	 	1.156	4.91E-02	 	 
223460_at	CAMKK1	 	 	1.39	6.83E-03	 	 
203538_at	CAMLG	-1.113	1.81E-02	 	 	 	 
212711_at	CAMSAP1	1.401	1.10E-02	 	 	1.3	4.57E-02
212712_at	CAMSAP1	 	 	1.493	2.62E-02	 	 
220409_at	CAMSAP1	 	 	1.17	3.88E-02	 	 
244682_at	CAMSAP1	 	 	 	 	-1.328	4.46E-02
217196_s_at	CAMSAP2	1.234	2.54E-02	 	 	 	 
1555370_a_at	CAMTA1	1.246	3.32E-02	 	 	 	 
225692_at	CAMTA1	 	 	-1.378	2.15E-02	 	 
225693_s_at	CAMTA1	 	 	 	 	1.158	2.96E-02
241882_at	CAMTA1	 	 	 	 	1.528	4.28E-02
208838_at	CAND1	1.262	2.46E-03	1.164	2.74E-02	 	 
208839_s_at	CAND1	1.188	1.19E-02	 	 	 	 
1556318_s_at	CAND1	 	 	 	 	-1.298	4.03E-03
221732_at	CANT1	-1.249	4.69E-02	 	 	 	 
46323_at	CANT1	-1.273	8.64E-03	-1.392	1.38E-02	-1.541	8.05E-05
200068_s_at	CANX	 	 	1.125	8.41E-03	 	 
208852_s_at	CANX	 	 	1.222	4.88E-02	1.129	1.98E-02
208853_s_at	CANX	 	 	1.322	2.01E-03	1.154	1.11E-02
200625_s_at	CAP1	-1.122	7.42E-03	 	 	 	 
213798_s_at	CAP1	 	 	 	 	-1.205	1.05E-02
212554_at	CAP2	1.191	2.80E-02	 	 	1.26	4.70E-03
212551_at	CAP2	 	 	1.302	1.76E-02	1.364	5.57E-03
200752_s_at	CAPN1	-1.209	4.17E-02	 	 	 	 
232571_at	CAPN10-AS1	2.098	1.85E-03	 	 	 	 
1557321_a_at	CAPN14	 	 	-1.232	1.18E-02	 	 
204275_at	CAPN15	 	 	 	 	1.216	2.65E-02
208683_at	CAPN2	-1.11	3.49E-02	 	 	1.463	1.22E-02
226292_at	CAPN5	 	 	 	 	-1.407	4.19E-02
203356_at	CAPN7	 	 	-1.049	3.77E-02	 	 
203357_s_at	CAPN7	 	 	 	 	1.15	1.27E-02
200001_at	CAPNS1	 	 	-1.363	1.62E-03	-1.265	1.72E-02
236850_at	CAPRIN1	-1.21	2.19E-02	 	 	-1.619	3.83E-02
226289_at	CAPRIN1	 	 	 	 	1.502	2.63E-02
218456_at	CAPRIN2	 	 	1.307	4.16E-02	1.311	4.91E-02
208374_s_at	CAPZA1	 	 	-1.144	2.06E-02	-1.115	1.35E-02
236888_at	CAPZA3	-1.213	4.73E-02	 	 	 	 
37012_at	CAPZB	 	 	-1.149	3.24E-02	-1.188	1.27E-02
201949_x_at	CAPZB	 	 	 	 	-1.405	4.12E-03
210026_s_at	CARD10	1.616	2.53E-02	1.241	2.25E-02	 	 
1562368_at	CARD11	-1.335	2.75E-02	 	 	 	 
232608_x_at	CARD14	 	 	-1.301	3.52E-02	 	 
224910_at	CARHSP1	 	 	 	 	-1.34	4.29E-02
217940_s_at	CARKD	-1.351	2.58E-04	 	 	-1.265	3.78E-02
240982_at	CARS	 	 	1.814	3.64E-02	2.163	2.23E-02
212971_at	CARS	 	 	 	 	1.393	2.08E-02
240983_s_at	CARS	 	 	 	 	1.222	3.40E-02
1562436_at	CARS-AS1	 	 	-1.477	3.20E-02	 	 
218153_at	CARS2	1.307	1.93E-02	 	 	 	 
244817_at	CARS2	 	 	 	 	1.277	2.90E-02
1557875_at	CASC17	 	 	1.522	4.57E-02	 	 
233190_at	CASC18	 	 	 	 	1.185	3.39E-02
224619_at	CASC4	 	 	-1.753	3.60E-02	-1.577	3.13E-02
1552682_a_at	CASC5	 	 	1.437	3.17E-02	 	 
228323_at	CASC5	 	 	1.245	9.35E-03	 	 
243304_at	CASC7	 	 	 	 	1.348	3.00E-02
242000_at	CASD1	-1.409	6.20E-03	 	 	 	 
238698_at	CASK	1.211	1.47E-02	 	 	 	 
210708_x_at	CASP10	 	 	-1.834	2.04E-02	 	 
209811_at	CASP2	1.531	1.88E-02	 	 	 	 
209812_x_at	CASP2	1.268	2.41E-03	 	 	 	 
34449_at	CASP2	1.918	4.22E-02	 	 	 	 
209790_s_at	CASP6	 	 	1.085	1.57E-02	 	 
213373_s_at	CASP8	 	 	1.292	2.30E-03	1.272	3.94E-02
210775_x_at	CASP9	-1.19	4.87E-02	 	 	-1.246	4.18E-02
203984_s_at	CASP9	 	 	-1.327	8.60E-03	 	 
240886_at	CASR	 	 	1.21	1.44E-02	1.282	2.37E-02
212580_at	CAST	 	 	-1.463	1.28E-02	 	 
243386_at	CASZ1	 	 	-1.495	1.59E-02	 	 
201432_at	CAT	-1.332	5.15E-03	-1.248	7.57E-03	-1.275	4.83E-02
211922_s_at	CAT	-1.224	2.77E-02	-1.238	6.72E-04	-1.158	1.76E-02
1552335_at	CATSPER1	 	 	 	 	-1.478	2.40E-02
237020_at	CATSPERD	 	 	1.173	2.67E-02	 	 
212097_at	CAV1	1.679	1.92E-02	 	 	-1.438	4.03E-02
203065_s_at	CAV1	 	 	 	 	1.262	2.35E-02
1554637_a_at	CBFA2T2	 	 	1.347	4.84E-03	 	 
208056_s_at	CBFA2T3	1.413	1.70E-02	1.621	6.15E-04	1.758	1.50E-02
202370_s_at	CBFB	1.165	2.98E-02	 	 	1.55	2.98E-03
206788_s_at	CBFB	 	 	1.37	4.10E-02	1.344	4.09E-03
225234_at	CBL	-1.106	2.34E-02	 	 	 	 
225231_at	CBL	 	 	 	 	-1.212	4.25E-02
209682_at	CBLB	-1.479	4.50E-02	 	 	 	 
205747_at	CBLN1	 	 	-1.466	3.28E-02	 	 
235221_at	CBLN3	-1.611	3.14E-02	 	 	 	 
209213_at	CBR1	 	 	1.322	1.39E-02	1.741	2.13E-02
205379_at	CBR3	 	 	1.365	4.69E-03	1.719	3.46E-03
244052_at	CBR4	 	 	1.258	3.28E-02	 	 
1553972_a_at	CBS	 	 	-1.325	1.06E-02	 	 
226193_x_at	CBWD5	 	 	 	 	1.151	2.19E-02
201518_at	CBX1	 	 	 	 	-1.112	1.66E-02
226473_at	CBX2	1.495	2.17E-03	1.371	1.30E-02	1.621	1.69E-02
240084_at	CBX2	 	 	 	 	1.533	3.46E-02
200037_s_at	CBX3	1.183	1.93E-02	 	 	 	 
1555920_at	CBX3	 	 	1.528	1.40E-03	 	 
227558_at	CBX4	 	 	 	 	-1.242	1.25E-02
202047_s_at	CBX6	-1.297	8.09E-03	 	 	-2.001	1.14E-02
202048_s_at	CBX6	-1.161	8.89E-03	-1.181	3.09E-02	-1.33	2.53E-02
221888_at	CC2D1A	1.102	3.34E-02	 	 	 	 
207083_s_at	CC2D1A	 	 	 	 	1.237	1.91E-02
219731_at	CC2D2B	1.425	7.62E-04	1.374	1.63E-02	 	 
224736_at	CCAR1	 	 	1.401	3.84E-02	 	 
206037_at	CCBL1	-1.19	3.54E-02	 	 	 	 
209472_at	CCBL2	-1.114	2.74E-02	 	 	 	 
221822_at	CCDC101	 	 	 	 	1.483	3.57E-04
224968_at	CCDC104	 	 	1.088	4.54E-02	 	 
229063_s_at	CCDC107	 	 	 	 	1.244	2.40E-02
1556969_at	CCDC108	 	 	-1.45	1.69E-02	 	 
218802_at	CCDC109B	 	 	 	 	1.111	4.85E-02
225644_at	CCDC117	 	 	 	 	-1.229	2.39E-02
226011_at	CCDC12	 	 	1.065	3.42E-02	 	 
1553894_at	CCDC122	-1.384	4.57E-02	 	 	 	 
225454_at	CCDC124	 	 	1.479	7.78E-03	 	 
1553542_at	CCDC125	 	 	 	 	-1.481	4.51E-02
226515_at	CCDC127	 	 	-1.116	2.61E-02	 	 
231653_at	CCDC129	 	 	 	 	1.202	3.73E-02
1554022_at	CCDC13	 	 	-1.359	4.45E-02	 	 
226972_s_at	CCDC136	 	 	 	 	1.234	4.28E-02
225933_at	CCDC137	1.468	2.48E-03	 	 	1.52	2.60E-02
235644_at	CCDC138	 	 	2.037	5.18E-03	1.362	4.57E-02
216045_at	CCDC144A	1.353	2.27E-02	1.481	2.35E-02	 	 
1557366_at	CCDC144CP	 	 	 	 	1.215	8.91E-03
226141_at	CCDC149	 	 	 	 	1.497	1.90E-02
232398_at	CCDC150	 	 	1.815	7.67E-04	 	 
237475_x_at	CCDC152	 	 	 	 	-1.708	3.08E-02
240293_at	CCDC153	-1.451	1.04E-02	 	 	 	 
244409_at	CCDC154	 	 	 	 	1.368	1.50E-02
1555443_at	CCDC172	 	 	-1.408	1.95E-02	 	 
225559_at	CCDC174	 	 	 	 	1.25	1.82E-02
239933_x_at	CCDC176	 	 	 	 	1.662	1.29E-02
1558820_a_at	CCDC178	 	 	-1.205	3.73E-02	 	 
232362_at	CCDC18	 	 	1.628	2.94E-02	 	 
236942_at	CCDC182	 	 	-1.171	1.76E-02	 	 
206016_at	CCDC22	 	 	 	 	1.136	2.19E-02
218125_s_at	CCDC25	 	 	-1.327	2.71E-02	-1.458	9.06E-03
209479_at	CCDC28A	-1.765	1.62E-03	 	 	 	 
219585_at	CCDC28B	 	 	 	 	1.337	1.51E-02
226287_at	CCDC34	1.208	2.33E-02	1.474	2.44E-03	1.216	3.35E-02
1554909_at	CCDC36	 	 	 	 	-1.774	2.80E-02
220592_at	CCDC40	1.302	4.94E-02	 	 	 	 
239254_at	CCDC40	 	 	1.664	2.27E-02	 	 
239282_at	CCDC41	1.595	3.84E-02	 	 	1.32	5.35E-03
230881_at	CCDC42	-1.519	4.31E-03	 	 	 	 
226540_at	CCDC42B	 	 	1.322	4.02E-03	 	 
217814_at	CCDC47	1.139	1.81E-02	 	 	 	 
222432_s_at	CCDC47	1.134	4.03E-02	1.094	3.63E-02	 	 
225331_at	CCDC50	 	 	-1.27	2.58E-02	 	 
218722_s_at	CCDC51	1.528	3.32E-02	 	 	 	 
218628_at	CCDC53	-1.431	2.95E-02	 	 	-1.293	5.51E-03
214818_at	CCDC57	 	 	1.395	2.03E-03	 	 
227783_at	CCDC57	 	 	-1.493	2.30E-02	-1.511	2.19E-02
235244_at	CCDC58	1.454	2.13E-02	 	 	1.317	7.98E-03
218936_s_at	CCDC59	1.191	2.18E-02	1.329	1.06E-02	1.279	2.06E-03
222792_s_at	CCDC59	1.318	2.08E-02	1.703	8.78E-03	1.598	2.07E-02
204716_at	CCDC6	-1.321	2.31E-03	 	 	 	 
225010_at	CCDC6	-1.262	9.93E-04	-1.176	1.57E-02	-1.194	4.57E-02
228472_at	CCDC61	1.338	3.57E-02	 	 	 	 
231567_s_at	CCDC62	 	 	-2.353	2.65E-02	 	 
228320_x_at	CCDC64	-1.258	3.06E-03	 	 	 	 
1554072_s_at	CCDC67	-1.153	1.71E-03	 	 	 	 
220180_at	CCDC68	-1.738	4.88E-02	 	 	 	 
212886_at	CCDC69	 	 	 	 	1.491	9.27E-03
227966_s_at	CCDC74A	1.367	4.93E-02	 	 	 	 
224521_s_at	CCDC77	 	 	 	 	1.571	8.31E-03
225241_at	CCDC80	1.17	3.91E-02	 	 	 	 
233846_at	CCDC85A	 	 	1.654	4.61E-02	 	 
204610_s_at	CCDC85B	1.594	2.45E-04	1.646	3.15E-02	1.584	1.71E-02
203119_at	CCDC86	1.406	7.16E-03	1.843	6.84E-03	1.704	2.31E-03
231288_at	CCDC88C	 	 	 	 	1.293	6.19E-04
206257_at	CCDC9	 	 	 	 	1.285	2.86E-02
218288_s_at	CCDC90B	 	 	 	 	-1.302	1.64E-02
218545_at	CCDC91	1.306	1.69E-02	 	 	 	 
218175_at	CCDC92	-1.47	1.94E-02	-1.271	2.62E-02	-1.52	4.04E-03
209688_s_at	CCDC93	 	 	 	 	-1.209	4.47E-02
243282_at	CCDC93	 	 	 	 	-1.71	2.11E-02
225257_at	CCDC97	-1.189	3.97E-02	 	 	 	 
205827_at	CCK	2.181	2.18E-02	1.981	9.91E-05	 	 
211173_at	CCKAR	 	 	-1.163	4.96E-02	 	 
210390_s_at	CCL15	 	 	 	 	-3.338	3.03E-02
32128_at	CCL18	 	 	 	 	1.36	8.17E-04
210549_s_at	CCL23	 	 	1.298	3.05E-02	 	 
224027_at	CCL28	-1.584	3.68E-02	-2.857	2.87E-02	 	 
238750_at	CCL28	-1.389	1.29E-03	-1.373	7.50E-03	 	 
224240_s_at	CCL28	 	 	-1.512	1.54E-02	-1.676	3.00E-02
204103_at	CCL4	 	 	 	 	1.516	2.84E-02
223164_at	CCM2	 	 	 	 	1.523	2.46E-02
231991_at	CCM2L	1.519	2.49E-02	 	 	 	 
205899_at	CCNA1	 	 	 	 	2.65	3.63E-02
213226_at	CCNA2	1.249	4.16E-02	1.335	4.98E-02	1.108	2.24E-02
203418_at	CCNA2	 	 	1.422	5.57E-03	1.581	7.82E-04
228729_at	CCNB1	1.309	3.68E-02	1.448	1.18E-02	 	 
214710_s_at	CCNB1	 	 	1.222	6.96E-04	 	 
217988_at	CCNB1IP1	1.248	2.15E-02	 	 	 	 
202705_at	CCNB2	 	 	1.274	3.22E-03	1.121	4.10E-02
232764_at	CCNB2	 	 	1.591	1.68E-02	1.749	2.68E-03
232768_at	CCNB2	 	 	 	 	1.564	2.36E-02
1569126_at	CCNC	 	 	 	 	-1.267	3.14E-02
208711_s_at	CCND1	1.371	9.33E-03	1.309	3.61E-02	 	 
223084_s_at	CCNDBP1	-1.395	8.71E-03	-1.357	9.47E-04	-1.529	1.42E-03
205034_at	CCNE2	1.399	9.82E-03	1.164	3.53E-02	 	 
211814_s_at	CCNE2	1.358	3.32E-02	 	 	 	 
208796_s_at	CCNG1	-1.269	1.96E-02	-1.146	9.57E-03	-1.087	9.69E-03
202769_at	CCNG2	-2.709	8.92E-04	-3.055	8.04E-03	-2.574	3.40E-03
202770_s_at	CCNG2	-2.393	1.32E-03	-2.676	2.57E-04	-2.306	1.78E-03
211559_s_at	CCNG2	-2.362	5.67E-05	-2.05	3.20E-05	-2	1.08E-02
228081_at	CCNG2	 	 	-2.363	1.60E-02	-2.186	2.71E-03
204093_at	CCNH	1.167	2.18E-02	1.308	5.28E-03	1.158	4.74E-02
208656_s_at	CCNI	-1.119	2.27E-02	-1.171	3.66E-02	-1.134	3.54E-02
208655_at	CCNI	 	 	 	 	-1.224	4.00E-03
219470_x_at	CCNJ	 	 	1.488	2.03E-02	1.264	2.37E-02
229091_s_at	CCNJ	 	 	1.434	9.85E-03	1.328	2.60E-03
219227_at	CCNJL	 	 	1.412	2.97E-02	2.095	9.70E-04
1555827_at	CCNL1	1.268	5.37E-04	 	 	 	 
213743_at	CCNT2	1.29	2.61E-02	 	 	 	 
224647_at	CCNY	 	 	 	 	-1.275	2.13E-02
227280_s_at	CCNYL1	1.33	3.74E-03	1.594	8.04E-03	1.693	8.98E-04
228810_at	CCNYL1	 	 	1.481	5.58E-03	1.943	4.82E-02
204662_at	CCP110	1.361	4.09E-02	 	 	 	 
214151_s_at	CCPG1	 	 	-1.29	5.28E-03	 	 
214152_at	CCPG1	 	 	-1.491	3.36E-02	-1.864	8.21E-03
221511_x_at	CCPG1	 	 	-1.175	4.27E-02	-1.311	3.45E-02
222156_x_at	CCPG1	 	 	 	 	-1.989	4.82E-02
205098_at	CCR1	-2.495	2.82E-02	 	 	 	 
208376_at	CCR4	-1.566	3.43E-02	-1.187	3.65E-02	 	 
206337_at	CCR7	-1.467	4.86E-02	 	 	 	 
1554283_at	CCRN4L	 	 	 	 	1.308	4.87E-02
203522_at	CCS	 	 	 	 	-1.502	2.46E-02
1553698_a_at	CCSAP	1.336	3.41E-02	 	 	1.62	1.77E-04
225904_at	CCSAP	1.257	5.86E-03	1.388	2.47E-02	1.451	3.81E-02
201946_s_at	CCT2	1.196	2.99E-04	1.393	6.57E-03	1.487	2.23E-05
201947_s_at	CCT2	 	 	 	 	1.194	1.70E-02
200910_at	CCT3	 	 	1.182	4.38E-02	1.109	2.11E-02
200877_at	CCT4	 	 	1.167	8.28E-03	1.217	7.51E-03
208696_at	CCT5	1.18	4.39E-03	1.29	4.44E-03	1.497	7.76E-04
229068_at	CCT5	1.324	3.11E-03	1.339	7.44E-03	 	 
201327_s_at	CCT6A	 	 	1.264	3.29E-02	1.323	4.10E-02
200812_at	CCT7	1.129	7.60E-03	1.195	1.42E-02	1.326	1.82E-03
200873_s_at	CCT8	1.21	7.13E-03	1.34	9.51E-03	1.432	4.19E-04
201974_s_at	CCZ1/CCZ1B	 	 	-2.136	3.81E-02	 	 
215024_at	CCZ1/CCZ1B	 	 	 	 	-1.827	1.78E-03
201743_at	CD14	 	 	 	 	1.459	4.33E-02
207840_at	CD160	 	 	 	 	1.533	2.52E-02
203645_s_at	CD163	1.285	4.69E-02	 	 	 	 
215049_x_at	CD163	 	 	-1.506	1.79E-02	 	 
208405_s_at	CD164	-1.231	4.87E-02	-1.403	1.07E-02	-1.216	1.11E-02
208653_s_at	CD164	 	 	-1.132	5.06E-03	-1.238	4.57E-02
208654_s_at	CD164	 	 	-1.236	1.09E-02	-1.363	1.13E-02
207277_at	CD209	 	 	-1.327	3.60E-02	 	 
1555729_a_at	CD209	 	 	 	 	-1.696	4.21E-02
204581_at	CD22	2.578	2.02E-02	 	 	 	 
208650_s_at	CD24	-1.338	1.68E-04	-1.468	3.77E-03	-1.422	3.96E-03
209771_x_at	CD24	-1.273	1.87E-03	-1.348	1.62E-02	-1.29	3.09E-04
209772_s_at	CD24	-1.311	2.60E-03	-1.607	3.55E-02	-1.535	1.84E-03
216379_x_at	CD24	-1.25	1.22E-03	-1.297	8.61E-03	-1.326	5.30E-05
266_s_at	CD24	-1.308	7.91E-03	-1.905	3.74E-03	-1.882	1.02E-03
208651_x_at	CD24	 	 	-2.025	9.39E-03	-1.637	7.91E-03
234320_at	CD244	 	 	 	 	1.207	4.90E-02
210031_at	CD247	 	 	 	 	-1.242	3.65E-02
219025_at	CD248	 	 	1.255	2.97E-02	 	 
1552914_a_at	CD276	1.231	7.60E-03	1.436	9.78E-03	 	 
224859_at	CD276	1.29	5.16E-03	1.401	5.94E-03	1.182	3.84E-02
202256_at	CD2BP2	 	 	1.219	1.37E-02	1.159	2.50E-02
202257_s_at	CD2BP2	 	 	1.074	2.28E-02	 	 
203799_at	CD302	-1.213	3.65E-02	-1.425	3.30E-02	-1.981	1.67E-05
218529_at	CD320	 	 	1.244	3.40E-02	1.371	2.94E-02
209555_s_at	CD36	-1.443	4.72E-02	 	 	 	 
206488_s_at	CD36	 	 	-1.4	4.86E-02	 	 
205264_at	CD3EAP	1.385	4.09E-02	 	 	 	 
203547_at	CD4	 	 	-1.495	2.12E-02	 	 
35150_at	CD40	 	 	-1.31	3.92E-02	 	 
204489_s_at	CD44	1.455	2.27E-02	1.773	4.72E-03	1.216	3.03E-02
204490_s_at	CD44	1.351	5.07E-03	 	 	1.462	3.27E-03
209835_x_at	CD44	1.424	2.35E-03	 	 	1.403	4.30E-04
212063_at	CD44	1.612	2.50E-03	 	 	 	 
217523_at	CD44	1.844	9.64E-03	 	 	 	 
1557905_s_at	CD44	 	 	1.555	3.86E-02	1.322	8.00E-03
210916_s_at	CD44	 	 	1.426	4.81E-02	 	 
212014_x_at	CD44	 	 	1.586	6.14E-03	1.332	8.13E-03
229221_at	CD44	 	 	 	 	1.686	2.67E-02
234411_x_at	CD44	 	 	 	 	1.925	7.08E-03
208783_s_at	CD46	-1.108	2.65E-02	 	 	 	 
211075_s_at	CD47	1.092	2.81E-02	1.103	4.90E-02	 	 
213857_s_at	CD47	1.135	3.69E-02	 	 	-1.159	4.55E-02
226016_at	CD47	1.533	8.09E-03	 	 	 	 
213055_at	CD47	 	 	1.275	2.96E-02	 	 
206485_at	CD5	 	 	 	 	1.263	1.64E-02
