ID	Symbol	12hr Fold Change	12hr p-value	24hr Fold Change	24hr p-value	48hr Fold Change	48hr p-value
228941_at	ALG10B	1.725	2.78E-02	 	 	 	 
242900_at	ALG10B	1.777	1.53E-02	 	 	 	 
218444_at	ALG12	 	 	 	 	1.172	2.77E-02
205583_s_at	ALG13	1.553	5.37E-03	 	 	 	 
222808_at	ALG13	 	 	 	 	-1.541	1.46E-02
232435_at	ALG13	 	 	 	 	-1.593	2.42E-02
225621_at	ALG2	 	 	1.228	2.68E-02	1.178	3.12E-03
207396_s_at	ALG3	1.215	2.23E-03	1.105	3.78E-02	 	 
219649_at	ALG6	 	 	 	 	1.197	1.97E-02
203545_at	ALG8	1.114	3.67E-03	 	 	 	 
219374_s_at	ALG9	 	 	1.414	4.68E-02	 	 
228817_at	ALG9	 	 	1.38	3.81E-02	 	 
208211_s_at	ALK	1.266	3.90E-02	 	 	-1.219	3.26E-02
